sa2_code,name,is_comparable,rent_2021_aud_week,erp_2020,erp_2025,population_growth_2020_2025_percent,transport_raw_index_sample,transport_coverage_fraction,selected_open_space_m2,selected_open_space_m2_per_person_sample,transport_score,spatial_method_status,rent_weekly_quality,rent_weekly_note,population_growth_quality,population_growth_note,transport_access_quality,transport_access_note,green_space_per_resident_quality,green_space_per_resident_note
206011106,Brunswick East,1,421,13064,14693,12.469381506429883,23.32583585734804,1.0,292046.0937055356,19.876546226470808,,sample_only_not_approved_for_publication,available,Historical reported rent; not current advertised rent.,available,"2025 ERP is preliminary; historical estimated change, not a forecast.",limited,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.,limited,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206011107,Brunswick West,1,365,15010,15988,6.515656229180546,18.998719242961883,1.0,232409.32997947713,14.536485487833195,,sample_only_not_approved_for_publication,available,Historical reported rent; not current advertised rent.,available,"2025 ERP is preliminary; historical estimated change, not a forecast.",limited,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.,limited,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206011109,Pascoe Vale South,1,421,10836,10907,0.6552233296419343,13.80456184549326,0.9999999999999962,203335.82322385328,18.642690311162855,,sample_only_not_approved_for_publication,available,Historical reported rent; not current advertised rent.,available,"2025 ERP is preliminary; historical estimated change, not a forecast.",limited,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.,limited,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206011495,Brunswick - North,1,431,14124,15255,8.007646559048428,27.457832526367234,1.0,10632.68568624008,0.6969967673707034,,sample_only_not_approved_for_publication,available,Historical reported rent; not current advertised rent.,available,"2025 ERP is preliminary; historical estimated change, not a forecast.",limited,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.,limited,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206011496,Brunswick - South,1,450,14235,15366,7.945205479452055,25.521286678536,0.999999999999992,229331.96603142508,14.924636602331452,,sample_only_not_approved_for_publication,available,Historical reported rent; not current advertised rent.,available,"2025 ERP is preliminary; historical estimated change, not a forecast.",limited,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.,limited,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206011497,Coburg - East,1,416,13265,14457,8.9860535243121,24.0634440653019,0.9999999999999939,418701.5718021475,28.96185735644653,,sample_only_not_approved_for_publication,available,Historical reported rent; not current advertised rent.,available,"2025 ERP is preliminary; historical estimated change, not a forecast.",limited,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.,limited,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206011498,Coburg - West,1,450,14523,14989,3.2087034359292157,17.61378988658595,1.0,70070.91105007728,4.674822273005356,,sample_only_not_approved_for_publication,available,Historical reported rent; not current advertised rent.,available,"2025 ERP is preliminary; historical estimated change, not a forecast.",limited,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.,limited,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206021110,Alphington - Fairfield,1,381,9538,9749,2.212203816313693,16.19408623229504,0.9999999999999777,255042.30327926474,26.16086811768025,,sample_only_not_approved_for_publication,available,Historical reported rent; not current advertised rent.,available,"2025 ERP is preliminary; historical estimated change, not a forecast.",limited,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.,limited,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206021112,Thornbury,1,396,19791,20234,2.238391187913698,17.993895979569764,1.0,462813.3513109946,22.873052847237055,,sample_only_not_approved_for_publication,available,Historical reported rent; not current advertised rent.,available,"2025 ERP is preliminary; historical estimated change, not a forecast.",limited,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.,limited,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206021499,Northcote - East,1,461,16183,15969,-1.322375332138664,23.918121563814257,0.999999999999992,349789.98684507643,21.90431378577722,,sample_only_not_approved_for_publication,available,Historical reported rent; not current advertised rent.,available,"2025 ERP is preliminary; historical estimated change, not a forecast.",limited,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.,limited,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
