sa2_code,name,is_comparable,indicator_key,raw_value,quality_status,coverage_fraction,quality_note
206011106,Brunswick East,1,green_space_per_resident,19.876546226470808,limited,,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206011106,Brunswick East,1,population_growth,12.469381506429883,available,,"2025 ERP is preliminary; historical estimated change, not a forecast."
206011106,Brunswick East,1,rent_weekly,421.0,available,,Historical reported rent; not current advertised rent.
206011106,Brunswick East,1,transport_access,23.32583585734804,limited,1.0,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.
206011107,Brunswick West,1,green_space_per_resident,14.536485487833195,limited,,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206011107,Brunswick West,1,population_growth,6.515656229180546,available,,"2025 ERP is preliminary; historical estimated change, not a forecast."
206011107,Brunswick West,1,rent_weekly,365.0,available,,Historical reported rent; not current advertised rent.
206011107,Brunswick West,1,transport_access,18.998719242961883,limited,1.0,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.
206011109,Pascoe Vale South,1,green_space_per_resident,18.642690311162855,limited,,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206011109,Pascoe Vale South,1,population_growth,0.6552233296419343,available,,"2025 ERP is preliminary; historical estimated change, not a forecast."
206011109,Pascoe Vale South,1,rent_weekly,421.0,available,,Historical reported rent; not current advertised rent.
206011109,Pascoe Vale South,1,transport_access,13.80456184549326,limited,0.9999999999999962,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.
206011495,Brunswick - North,1,green_space_per_resident,0.6969967673707034,limited,,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206011495,Brunswick - North,1,population_growth,8.007646559048428,available,,"2025 ERP is preliminary; historical estimated change, not a forecast."
206011495,Brunswick - North,1,rent_weekly,431.0,available,,Historical reported rent; not current advertised rent.
206011495,Brunswick - North,1,transport_access,27.457832526367234,limited,1.0,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.
206011496,Brunswick - South,1,green_space_per_resident,14.924636602331452,limited,,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206011496,Brunswick - South,1,population_growth,7.945205479452055,available,,"2025 ERP is preliminary; historical estimated change, not a forecast."
206011496,Brunswick - South,1,rent_weekly,450.0,available,,Historical reported rent; not current advertised rent.
206011496,Brunswick - South,1,transport_access,25.521286678536,limited,0.999999999999992,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.
206011497,Coburg - East,1,green_space_per_resident,28.96185735644653,limited,,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206011497,Coburg - East,1,population_growth,8.9860535243121,available,,"2025 ERP is preliminary; historical estimated change, not a forecast."
206011497,Coburg - East,1,rent_weekly,416.0,available,,Historical reported rent; not current advertised rent.
206011497,Coburg - East,1,transport_access,24.0634440653019,limited,0.9999999999999939,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.
206011498,Coburg - West,1,green_space_per_resident,4.674822273005356,limited,,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206011498,Coburg - West,1,population_growth,3.2087034359292157,available,,"2025 ERP is preliminary; historical estimated change, not a forecast."
206011498,Coburg - West,1,rent_weekly,450.0,available,,Historical reported rent; not current advertised rent.
206011498,Coburg - West,1,transport_access,17.61378988658595,limited,1.0,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.
206021110,Alphington - Fairfield,1,green_space_per_resident,26.16086811768025,limited,,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206021110,Alphington - Fairfield,1,population_growth,2.212203816313693,available,,"2025 ERP is preliminary; historical estimated change, not a forecast."
206021110,Alphington - Fairfield,1,rent_weekly,381.0,available,,Historical reported rent; not current advertised rent.
206021110,Alphington - Fairfield,1,transport_access,16.19408623229504,limited,0.9999999999999777,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.
206021112,Thornbury,1,green_space_per_resident,22.873052847237055,limited,,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206021112,Thornbury,1,population_growth,2.238391187913698,available,,"2025 ERP is preliminary; historical estimated change, not a forecast."
206021112,Thornbury,1,rent_weekly,396.0,available,,Historical reported rent; not current advertised rent.
206021112,Thornbury,1,transport_access,17.993895979569764,limited,1.0,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.
206021499,Northcote - East,1,green_space_per_resident,21.90431378577722,limited,,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206021499,Northcote - East,1,population_growth,-1.322375332138664,available,,"2025 ERP is preliminary; historical estimated change, not a forecast."
206021499,Northcote - East,1,rent_weekly,461.0,available,,Historical reported rent; not current advertised rent.
206021499,Northcote - East,1,transport_access,23.918121563814257,limited,0.999999999999992,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.
206021500,Northcote - West,1,green_space_per_resident,21.766452389268753,limited,,Sample public-open-space filter includes sports grounds and natural open space that can include river land/water. Not confirmed vegetation or current access. Inventory completeness/date unverified. Denominator is preliminary 2025 ERP.
206021500,Northcote - West,1,population_growth,1.2767520896482043,available,,"2025 ERP is preliminary; historical estimated change, not a forecast."
206021500,Northcote - West,1,rent_weekly,490.0,available,,Historical reported rent; not current advertised rent.
206021500,Northcote - West,1,transport_access,24.28781855388002,limited,1.0,Sample area-weighted raw index over covered land only. Weighting and minimum coverage are unapproved; no approved benchmark or percentile. Layer observation date unverified.
